line;from_id;to_id;weight;off_peak;am_peak;inter_peak
1;11;212;1.89;1.68;2;2
1;11;163;1.36;1.08;1.5;1.5
1;49;87;1.32;0.95;1.5;1.5
1;49;197;1.87;1.6;2;2
1;82;163;1.37;1.12;1.5;1.5
1;82;193;1.87;1.62;2;2
1;84;148;2.04;2.13;2;2
1;87;279;1.48;1.43;1.5;1.5
1;87;49;0.99;0.97;1;1
1;113;298;2.04;1.65;2.23;2.23
1;113;246;2.36;2.02;2.53;2.53
1;114;140;8.41;22.23;0.5;2.5
1;137;206;4.03;2.65;4.72;4.72
1;137;298;2.94;2.53;3.15;3.15
1;140;237;1.96;1.88;2;2
1;140;114;2.79;2.38;3;3
1;143;159;1.83;1.48;2;2
1;143;206;2.63;2.1;2.89;2.89
1;148;84;2.52;2.57;2.5;2.5
1;148;279;1.86;1.45;2.06;2.06
1;159;278;1.5;1.5;1.5;1.5
1;159;143;1.49;1.48;1.5;1.5
1;163;11;1.39;1.17;1.5;1.5
1;163;82;1.03;1.08;1;1
1;185;281;2.01;1.92;2.06;2.06
1;185;237;1.53;1.58;1.5;1.5
1;192;197;2.3;1.95;2.48;2.48
1;192;212;1.91;1.72;2;2
1;193;82;1.52;1.57;1.5;1.5
1;193;278;1.88;1.63;2;2
1;197;49;1.45;1.35;1.5;1.5
1;197;192;2.13;2.02;2.19;2.19
1;206;143;1.47;1.42;1.5;1.5
1;206;137;2.76;2.83;2.72;2.72
1;212;192;1.95;1.85;2;2
1;212;11;1.88;1.65;2;2
1;237;185;1.5;1.5;1.5;1.5
1;237;140;2;2;2;2
1;246;113;2.31;2.13;2.4;2.4
1;246;281;2.92;2.42;3.17;3.17
1;278;193;1.86;1.58;2;2
1;278;159;1.5;1.5;1.5;1.5
1;279;148;1.82;1.45;2;2
1;279;87;1.41;1.22;1.5;1.5
1;281;246;2.83;2.23;3.13;3.13
1;281;185;1.98;1.95;2;2
1;298;137;2.49;2.47;2.5;2.5
1;298;113;1.88;1.63;2;2
2;294;221;2.45;2.28;2.57;2.5
2;221;239;1.43;1.3;1.5;1.5
2;239;177;2.44;2.23;2.58;2.5
2;177;105;1.98;1.93;2;2
2;105;196;2.14;1.85;2.33;2.25
2;196;112;2.2;2.1;2.25;2.26
2;112;181;3.26;2.85;3.44;3.48
2;72;286;2.26;2.28;2.25;2.25
2;286;181;2.81;2.3;2.86;3.26
2;181;76;1.67;1.5;1.75;1.75
2;76;296;3.19;2.57;3.28;3.71
2;296;226;2.73;2.68;2.75;2.75
2;226;127;1.62;1.37;1.75;1.75
2;127;186;1.36;1.08;1.5;1.5
2;186;208;1.39;1.17;1.5;1.5
2;208;149;1.45;1.35;1.5;1.5
2;149;162;2.38;1.92;2.71;2.5
2;162;28;1.17;1;1.25;1.25
2;28;192;1.37;1.1;1.5;1.5
2;192;259;1.33;0.98;1.5;1.5
2;259;126;1.95;1.63;2.21;2.01
2;126;48;0.96;0.87;1;1
2;48;250;1.84;1.52;2;2
2;250;13;1.87;1.62;2;2
2;13;156;2.04;1.62;2.25;2.25
2;156;24;2.7;2.6;2.75;2.75
2;24;164;2.16;1.98;2.25;2.25
2;164;247;3.28;3.18;3.42;3.25
2;247;153;2.63;2.4;2.75;2.75
2;153;154;2.53;2.02;2.81;2.76
2;154;275;2.22;2.15;2.25;2.25
2;275;211;1.87;1.62;2;2
2;211;98;1.72;1.65;1.75;1.75
2;98;173;2.91;2.68;3.06;2.98
2;173;16;1.68;1.55;1.75;1.75
2;16;91;1.73;1.57;1.84;1.79
2;91;109;3.65;2.93;3.89;4.12
2;154;230;2.1;1.8;2.25;2.25
2;230;241;1.71;1.62;1.75;1.75
2;241;301;2.17;1.9;2.34;2.26
2;215;301;2.34;2.03;2.78;2.22
2;51;215;2.57;2.45;2.77;2.5
2;103;51;1.88;1.63;2;2
2;109;103;1.8;1.73;1.89;1.79
2;301;37;2.43;2.28;2.5;2.5
2;37;158;2.53;2.35;2.7;2.53
2;158;68;2.2;2.13;2.22;2.25
2;68;256;3;3;3;3
2;256;88;2.7;2.6;2.76;2.75
2;88;256;2.46;2.37;2.5;2.5
2;256;68;3.19;2.88;3.43;3.25
2;68;158;3.01;2.67;2.97;3.4
2;158;37;2.37;2.07;2.53;2.5
2;37;301;2.46;2.32;2.53;2.53
2;103;109;3.77;1.7;5.28;4.32
2;51;103;2.15;1.73;2.61;2.11
2;215;51;2.21;2.13;2.25;2.25
2;301;215;2.4;2.18;2.53;2.5
2;301;241;2.15;1.95;2.25;2.25
2;241;230;1.7;1.6;1.75;1.75
2;230;154;2.95;2.05;3.46;3.33
2;109;91;1.94;1.82;2;2
2;91;16;1.69;1.57;1.75;1.75
2;16;173;2.06;1.58;2.25;2.35
2;173;98;2.91;2.73;3;3
2;98;211;1.9;1.7;2;2
2;211;275;1.69;1.58;1.75;1.75
2;275;154;2.95;2.17;3.05;3.64
2;154;153;2.17;2.02;2.25;2.25
2;153;247;2.71;2.43;2.96;2.75
2;247;164;3.01;3.03;3;3
2;164;24;2.23;1.97;2.47;2.25
2;24;156;3.17;2.77;3.48;3.25
2;156;13;1.88;1.65;2;2
2;13;250;1.88;1.63;2;2
2;250;48;1.67;1.52;1.75;1.75
2;48;126;1.19;0.85;1.46;1.25
2;126;259;1.63;1.38;1.75;1.75
2;259;192;1.34;1.02;1.5;1.5
2;192;28;1.18;1.03;1.25;1.25
2;28;162;1.39;1.02;1.66;1.5
2;162;149;1.87;1.62;2;2
2;149;208;1.72;1.65;1.75;1.75
2;208;186;1.39;1.18;1.5;1.5
2;186;127;1.39;1.18;1.5;1.5
2;127;226;1.67;1.52;1.75;1.75
2;226;296;3.49;2.77;3.74;3.97
2;296;76;2.89;2.67;3;3
2;76;181;2.08;1.57;2.12;2.54
2;181;286;2.71;2.52;2.85;2.76
2;286;72;2.88;3.07;2.76;2.82
2;181;112;3.01;2.87;3.15;3
2;112;196;2.2;2.07;2.28;2.25
2;196;105;2.17;2;2.27;2.25
2;105;177;2.27;2.15;2.37;2.28
2;177;239;2.42;2.25;2.52;2.5
2;239;221;1.67;1.37;2.09;1.54
2;221;294;2.76;2.68;2.86;2.75
3;83;193;1.95;1.85;2;2
3;193;18;1.88;1.65;2;2
3;18;186;1.82;1.47;2;2
3;186;122;2.84;1.58;3.57;3.36
3;122;99;2.45;1.8;2.66;2.9
